N,Z,A,Mass Excess (keV),A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,(N-Z)/A,N/Z,ZEO,NEO,Zshell_category,Nshell_category,deltaZ,deltaN,proton_particles,proton_holes,neutron_particles,neutron_holes,nu_Z,nu_N,promiscuity,neighbor_N_plus_1_exists,neighbor_N_minus_1_exists,neighbor_Z_plus_1_exists,neighbor_Z_minus_1_exists
8,8,16,-4737.00217,6.3496042078727974,22.223614727554793,0.0,0.0,1.0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
9,8,17,-808.76421,6.611489018457944,21.779022649037937,0.058823529411764705,0.058823529411764705,1.125,0,1,2,2,0.0,1.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,1,1,1,0
8,9,17,1951.701,6.611489018457944,28.001600548763065,0.058823529411764705,-0.058823529411764705,0.8888888888888888,1,0,2,2,1.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,1,0,1,1
10,8,18,-782.81634,6.868285455319991,21.367999194328863,0.2222222222222222,0.1111111111111111,1.25,0,0,2,2,0.0,2.0,0.0,0.0,2.0,10.0,0.0,2.0,0.0,1,1,1,0
9,9,18,873.112,6.868285455319991,27.473141821279967,0.0,0.0,1.0,1,1,2,2,1.0,1.0,1.0,11.0,1.0,11.0,1.0,1.0,0.5,1,1,1,1
8,10,18,5317.617,6.868285455319991,34.34142727659996,0.2222222222222222,-0.1111111111111111,0.8,0,0,2,2,2.0,0.0,2.0,10.0,0.0,0.0,2.0,0.0,0.0,1,0,1,1
11,8,19,3332.858,7.1203673589019925,20.986345899921666,0.47368421052631576,0.15789473684210525,1.375,0,1,2,2,0.0,3.0,0.0,0.0,3.0,9.0,0.0,3.0,0.0,1,1,1,0
10,9,19,-1487.44512,7.1203673589019925,26.982444728470714,0.05263157894736842,0.05263157894736842,1.1111111111111112,1,0,2,2,1.0,2.0,1.0,11.0,2.0,10.0,1.0,2.0,0.6666666666666666,1,1,1,1
9,10,19,1752.054,7.1203673589019925,33.72805591058839,0.05263157894736842,-0.05263157894736842,0.9,0,1,2,2,2.0,1.0,2.0,10.0,1.0,11.0,2.0,1.0,0.6666666666666666,1,1,1,1
8,11,19,12929.384,7.1203673589019925,41.2231794462747,0.47368421052631576,-0.15789473684210525,0.7272727272727273,1,0,2,2,3.0,0.0,3.0,9.0,0.0,0.0,3.0,0.0,0.0,1,0,1,1
12,8,20,3796.172,7.368062997280773,20.630576392386168,0.8,0.2,1.5,0,0,2,2,0.0,4.0,0.0,0.0,4.0,8.0,0.0,4.0,0.0,1,1,1,0
11,9,20,-17.463,7.368062997280773,26.525026790210784,0.2,0.1,1.2222222222222223,1,1,2,2,1.0,3.0,1.0,11.0,3.0,9.0,1.0,3.0,0.75,1,1,1,1
10,10,20,-7041.93217,7.368062997280773,33.15628348776348,0.0,0.0,1.0,0,0,2,2,2.0,2.0,2.0,10.0,2.0,10.0,2.0,2.0,1.0,1,1,1,1
9,11,20,6850.489,7.368062997280773,40.524346485044255,0.2,-0.1,0.8181818181818182,1,1,2,2,3.0,1.0,3.0,9.0,1.0,11.0,3.0,1.0,0.75,1,1,1,1
8,12,20,17477.694,7.368062997280773,48.62921578205311,0.8,-0.2,0.6666666666666666,0,0,2,2,4.0,0.0,4.0,8.0,0.0,0.0,4.0,0.0,0.0,1,0,0,1
13,8,21,8062.034,7.611662611020244,20.297766962720655,1.1904761904761905,0.23809523809523808,1.625,0,1,2,2,0.0,5.0,0.0,0.0,5.0,7.0,0.0,5.0,0.0,1,1,1,0
12,9,21,-47.605,7.611662611020244,26.097128952069415,0.42857142857142855,0.14285714285714285,1.3333333333333333,1,0,2,2,1.0,4.0,1.0,11.0,4.0,8.0,1.0,4.0,0.8,1,1,1,1
11,10,21,-5731.776,7.611662611020244,32.62141119008677,0.047619047619047616,0.047619047619047616,1.1,0,1,2,2,2.0,3.0,2.0,10.0,3.0,9.0,2.0,3.0,1.2,1,1,1,1
10,11,21,-2184.857,7.611662611020244,39.87061367677272,0.047619047619047616,-0.047619047619047616,0.9090909090909091,1,0,2,2,3.0,2.0,3.0,9.0,2.0,10.0,3.0,2.0,1.2,1,1,1,1
