separation,seed,split,model,anchor_coverage,n,rmse_keV,mae_keV,bias_keV
neutron_rich,12,val,LSMF,0.0,578,2203.8535071334777,1668.8901758445666,6.005847762409537
neutron_rich,12,test,LSMF,0.0,532,3901.997570322184,3202.9147687505406,-825.8873839365623
neutron_rich,12,val,LSMF+anchor,1.0,578,471.3964078492261,315.9095153931864,-15.672507759054188
neutron_rich,12,test,LSMF+anchor,0.9605263157894737,532,1724.1268476793166,1075.381076177196,-625.8066945807886
neutron_rich,17,val,LSMF,0.0,578,2192.7091410046255,1631.547376716252,110.98150065721633
neutron_rich,17,test,LSMF,0.0,532,3875.1622954876943,3171.460345257281,-810.1647848331481
neutron_rich,17,val,LSMF+anchor,1.0,578,432.5566476314754,287.18294517811694,3.8902595334191914
neutron_rich,17,test,LSMF+anchor,0.9605263157894737,532,1713.9718674489525,1073.1789011413653,-631.9130455714904
neutron_rich,33,val,LSMF,0.0,578,2177.7771387267676,1694.9349076343533,-105.94651981950436
neutron_rich,33,test,LSMF,0.0,532,3901.440004391114,3207.2360053359694,-908.8234826408664
neutron_rich,33,val,LSMF+anchor,1.0,578,434.2303511443544,284.9293148189114,42.5686570974795
neutron_rich,33,test,LSMF+anchor,0.9605263157894737,532,1739.5718154081524,1085.613848243242,-655.969683301588
neutron_rich,42,val,LSMF,0.0,578,2027.646542404233,1595.7464064818398,-261.96113346924477
neutron_rich,42,test,LSMF,0.0,532,4008.84294154433,3309.6952439701113,-1238.1330660805982
neutron_rich,42,val,LSMF+anchor,1.0,578,416.22266000812147,266.5183583229341,26.72630155056571
neutron_rich,42,test,LSMF+anchor,0.9605263157894737,532,1843.5751035322448,1137.4471910230936,-753.959762474443
neutron_rich,89,val,LSMF,0.0,578,2328.184788647238,1753.9941274663072,0.10208082987484451
neutron_rich,89,test,LSMF,0.0,532,3950.0897236495334,3255.794013297169,-1108.4303020815632
neutron_rich,89,val,LSMF+anchor,1.0,578,502.2466222866234,312.0150445982513,22.562217339812733
neutron_rich,89,test,LSMF+anchor,0.9605263157894737,532,1791.0736776757549,1107.9222368732155,-690.6797569290883
