N,Z,A,Mass Excess (keV)
8,8,16,-4737.00217
9,8,17,-808.76421
10,8,18,-782.81634
11,8,19,3332.858
13,8,21,8062.034
14,8,22,9283.032
15,8,23,14621.371
8,9,17,1951.701
10,9,19,-1487.44512
12,9,21,-47.605
13,9,22,2793.376
14,9,23,3285.263
15,9,24,7544.516
16,9,25,11334.167
8,10,18,5317.617
9,10,19,1752.054
13,10,23,-5154.045
14,10,24,-5951.642
15,10,25,-2035.503
16,10,26,481.114
17,10,27,7050.91
18,10,28,11299.738
9,11,20,6850.489
10,11,21,-2184.857
12,11,23,-9529.85352
15,11,26,-6860.78
16,11,27,-5517.791
17,11,28,-988.315
18,11,29,2679.994
10,12,22,-399.986
12,12,24,-13933.578
14,12,26,-16214.544
15,12,27,-14586.594
16,12,28,-15019.946
17,12,29,-10612.36
19,12,31,-3122.152
20,12,32,-828.901
21,12,33,4962.873
10,13,23,6748.071
12,13,25,-8915.974
13,13,26,-12210.139
14,13,27,-17196.864
15,13,28,-16850.719
16,13,29,-18207.762
18,13,31,-14950.709
19,13,32,-11099.368
10,14,24,10745.186
11,14,25,3827.322
13,14,27,-12384.505
14,14,28,-21492.7971
16,14,30,-24432.962
17,14,31,-22949.037
18,14,32,-24077.689
19,14,33,-20514.328
20,14,34,-19991.684
21,14,35,-14391.48
22,14,36,-12436.125
12,15,27,-659.032
13,15,28,-7147.856
15,15,30,-20200.856
16,15,31,-24440.54442
19,15,34,-24548.702
20,15,35,-24857.809
21,15,36,-20251.045
22,15,37,-18996.012
23,15,38,-14621.565
13,16,29,-3094.423
14,16,30,-14059.254
15,16,31,-19042.531
17,16,33,-26585.8583
19,16,35,-28846.21
20,16,36,-30664.141
22,16,38,-26861.216
23,16,39,-23162.672
13,17,30,4674.548
14,17,31,-7034.552
15,17,32,-13334.706
16,17,33,-21003.34
18,17,35,-29013.532
19,17,36,-29522.008
20,17,37,-31761.552
21,17,38,-29798.116
22,17,39,-29800.218
23,17,40,-27557.818
25,17,42,-24831.77
15,18,33,-9384.295
16,18,34,-18378.293
18,18,36,-30231.542
19,18,37,-30947.679
20,18,38,-34714.827
22,18,40,-35039.8999
23,18,41,-33067.51
24,18,42,-34422.678
26,18,44,-32673.26
16,19,35,-11172.893
17,19,36,-17417.182
19,19,38,-28800.76
20,19,39,-33807.1953
22,19,41,-35559.5488
23,19,42,-35022.031
24,19,43,-36575.394
25,19,44,-35781.498
26,19,45,-36615.643
28,19,47,-35711.982
30,19,49,-29611.496
16,20,36,-6451.166
17,20,37,-13136.07
18,20,38,-22058.503
19,20,39,-27282.707
20,20,40,-34846.402
24,20,44,-41468.73
25,20,45,-40812.23
27,20,47,-42344.665
28,20,48,-44224.868
30,20,50,-39589.23
31,20,51,-36332.31
18,21,39,-14172.726
20,21,41,-28642.36
21,21,42,-32121.003
22,21,43,-36188.15
23,21,44,-37816.035
24,21,45,-41072.321
26,21,47,-44336.842
28,21,49,-46562.447
30,21,51,-43250.353
31,21,52,-40523.56
19,22,41,-15697.539
20,22,42,-25104.353
21,22,43,-29315.591
25,22,47,-44937.612
26,22,48,-48492.952
28,22,50,-51431.867
29,22,51,-49732.965
30,22,52,-49477.698
31,22,53,-46881.433
32,22,54,-45743.812
33,22,55,-41832.469
20,23,43,-17916.358
21,23,44,-23808.079
24,23,47,-42007.07
27,23,50,-49223.24
28,23,51,-52203.105
30,23,53,-51851.675
31,23,54,-49898.267
33,23,56,-46183.401
34,23,57,-44435.063
35,23,58,-40430.584
20,24,44,-13421.899
21,24,45,-19514.801
22,24,46,-29471.57
24,24,48,-42821.313
25,24,49,-45332.352
26,24,50,-50261.364
27,24,51,-51450.715
28,24,52,-55419.508
31,24,55,-55110.324
32,24,56,-55285.128
35,24,59,-48115.931
21,25,46,-12417.748
22,25,47,-22566.376
25,25,50,-42626.886
26,25,51,-48243.225
30,25,55,-57712.542
31,25,56,-56911.666
32,25,57,-57486.279
33,25,58,-55827.568
35,25,60,-52967.946
22,26,48,-18008.575
23,26,49,-24750.73
24,26,50,-34476.46
27,26,53,-50947.483
28,26,54,-56254.615
30,26,56,-60607.163
32,26,58,-62155.271
34,26,60,-61413.174
35,26,61,-58920.503
36,26,62,-58878.057
23,27,50,-17589.403
24,27,51,-27342.146
26,27,53,-42659.376
27,27,54,-48010.068
28,27,55,-54029.996
29,27,56,-56040.518
30,27,57,-59345.658
31,27,58,-59847.292
33,27,60,-61650.437
34,27,61,-62898.179
37,27,64,-59792.442
38,27,65,-59185.205
24,28,52,-22559.856
26,28,54,-39278.312
