separation,seed,split,model,anchor_coverage,n,rmse_keV,mae_keV,bias_keV
heavy,12,val,LSMF,0.0,596,2433.722791626301,1845.5961582438317,83.72104230593418
heavy,12,test,LSMF,0.0,470,5490.29818341441,4740.860643578772,-3853.677489687731
heavy,12,val,LSMF+Transformer,0.0,596,478.094233125763,298.6918992460527,87.93860219239293
heavy,12,test,LSMF+Transformer,0.0,470,3346.066945654089,2834.4371766806353,-2715.345350987042
heavy,12,val,LSMF+anchor,1.0,596,521.2297691472227,330.22987613314524,20.37297115986993
heavy,12,test,LSMF+anchor,0.21063829787234042,470,5344.005229377508,4501.189845306758,-4042.598724213955
heavy,12,val,LSMF+anchor+Transformer,1.0,596,328.3796988634218,198.36923519629502,10.251693749157909
heavy,12,test,LSMF+anchor+Transformer,0.21063829787234042,470,5474.521052658916,4614.609041717647,-4154.914536192965
heavy,17,val,LSMF,0.0,596,2377.986102868442,1831.1781233226113,115.61617606062602
heavy,17,test,LSMF,0.0,470,5635.024586695582,4851.109699654278,-3986.761611658937
heavy,17,val,LSMF+Transformer,0.0,596,516.0798454431995,301.2548224148966,9.593229538486137
heavy,17,test,LSMF+Transformer,0.0,470,3220.390543390144,2703.973633552573,-2651.4998924868855
