N,Z,A,Mass Excess (keV)
8,8,16,-4737.00217
9,8,17,-808.76421
10,8,18,-782.81634
11,8,19,3332.858
12,8,20,3796.172
13,8,21,8062.034
14,8,22,9283.032
15,8,23,14621.371
8,9,17,1951.701
9,9,18,873.112
10,9,19,-1487.44512
11,9,20,-17.463
12,9,21,-47.605
13,9,22,2793.376
14,9,23,3285.263
16,9,25,11334.167
17,9,26,18674.655
8,10,18,5317.617
9,10,19,1752.054
10,10,20,-7041.93217
11,10,21,-5731.776
12,10,22,-8024.716
14,10,24,-5951.642
15,10,25,-2035.503
16,10,26,481.114
17,10,27,7050.91
18,10,28,11299.738
10,11,21,-2184.857
12,11,23,-9529.85352
13,11,24,-8417.901
14,11,25,-9357.814
15,11,26,-6860.78
16,11,27,-5517.791
17,11,28,-988.315
18,11,29,2679.994
19,11,30,8474.67
8,12,20,17477.694
9,12,21,10903.851
13,12,25,-13192.782
14,12,26,-16214.544
15,12,27,-14586.594
17,12,29,-10612.36
19,12,31,-3122.152
20,12,32,-828.901
21,12,33,4962.873
10,13,23,6748.071
12,13,25,-8915.974
13,13,26,-12210.139
15,13,28,-16850.719
16,13,29,-18207.762
17,13,30,-15864.116
19,13,32,-11099.368
21,13,34,-2997.619
11,14,25,3827.322
17,14,31,-22949.037
18,14,32,-24077.689
20,14,34,-19991.684
22,14,36,-12436.125
12,15,27,-659.032
13,15,28,-7147.856
14,15,29,-16952.849
15,15,30,-20200.856
16,15,31,-24440.54442
17,15,32,-24304.876
18,15,33,-26337.35
19,15,34,-24548.702
20,15,35,-24857.809
21,15,36,-20251.045
22,15,37,-18996.012
23,15,38,-14621.565
12,16,28,4073.203
13,16,29,-3094.423
14,16,30,-14059.254
15,16,31,-19042.531
16,16,32,-26015.53714
17,16,33,-26585.8583
18,16,34,-29931.689
22,16,38,-26861.216
23,16,39,-23162.672
24,16,40,-22837.85
13,17,30,4674.548
14,17,31,-7034.552
16,17,33,-21003.34
18,17,35,-29013.532
20,17,37,-31761.552
21,17,38,-29798.116
22,17,39,-29800.218
24,17,41,-27307.192
25,17,42,-24831.77
14,18,32,-2200.352
15,18,33,-9384.295
17,18,35,-23047.289
18,18,36,-30231.542
21,18,39,-33242.195
22,18,40,-35039.8999
23,18,41,-33067.51
25,18,43,-32009.811
26,18,44,-32673.26
16,19,35,-11172.893
17,19,36,-17417.182
18,19,37,-24800.201
19,19,38,-28800.76
21,19,40,-33535.497
22,19,41,-35559.5488
23,19,42,-35022.031
24,19,43,-36575.394
25,19,44,-35781.498
27,19,46,-35413.929
28,19,47,-35711.982
29,19,48,-32284.482
30,19,49,-29611.496
16,20,36,-6451.166
17,20,37,-13136.07
19,20,39,-27282.707
20,20,40,-34846.402
21,20,41,-35137.908
22,20,42,-38547.293
23,20,43,-38408.873
24,20,44,-41468.73
25,20,45,-40812.23
26,20,46,-43139.61
27,20,47,-42344.665
28,20,48,-44224.868
29,20,49,-41300.003
30,20,50,-39589.23
31,20,51,-36332.31
20,21,41,-28642.36
21,21,42,-32121.003
22,21,43,-36188.15
23,21,44,-37816.035
25,21,46,-41761.643
27,21,48,-44504.083
28,21,49,-46562.447
30,21,51,-43250.353
32,21,53,-38769.555
33,21,54,-34437.934
18,22,40,-8993.439
19,22,41,-15697.539
20,22,42,-25104.353
21,22,43,-29315.591
23,22,45,-39010.266
26,22,48,-48492.952
27,22,49,-48564.012
29,22,51,-49732.965
30,22,52,-49477.698
31,22,53,-46881.433
33,22,55,-41832.469
21,23,44,-23808.079
23,23,46,-37075.897
26,23,49,-47962.157
27,23,50,-49223.24
28,23,51,-52203.105
30,23,53,-51851.675
31,23,54,-49898.267
32,23,55,-49125.136
33,23,56,-46183.401
34,23,57,-44435.063
35,23,58,-40430.584
21,24,45,-19514.801
23,24,47,-34563.093
24,24,48,-42821.313
25,24,49,-45332.352
26,24,50,-50261.364
27,24,51,-51450.715
29,24,53,-55287.618
31,24,55,-55110.324
32,24,56,-55285.128
33,24,57,-52524.985
34,24,58,-51991.808
35,24,59,-48115.931
22,25,47,-22566.376
23,25,48,-29296.644
24,25,49,-37619.925
25,25,50,-42626.886
27,25,52,-50711.387
29,25,54,-55558.247
30,25,55,-57712.542
31,25,56,-56911.666
33,25,58,-55827.568
36,25,61,-51742.13
22,26,48,-18008.575
23,26,49,-24750.73
25,26,51,-40189.185
26,26,52,-48332.095
28,26,54,-56254.615
29,26,55,-57481.422
32,26,58,-62155.271
33,26,59,-60664.957
35,26,61,-58920.503
37,26,63,-55635.629
23,27,50,-17589.403
